Release Date,Season,Episode,Episode Title,Name,Sentence
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,You are from Essos. Where? Lys?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,I have an ear for that as well. How did you get here?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,One you don't like telling people.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,"My paramour Ellaria, she would find you very interesting. You should come to the brothel and meet her. We brought our own wine, not the swill they serve here. We have some lovely boys on retainer, but..."
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,You did like boys before?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,Really? Girls? Hmm. I hope you won't be offended when I say I never would have guessed.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,What then?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,Everybody is interested in something.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,Such as?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,"I think you have made your point, Grand Maester. You have a lot of poison in your store."
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,"Tyrion said, ""And you will know the debt is paid."" What debt?"
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,How could you possibly know all this? Why would he reveal such plans to his wife's maid?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,And did you?
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,Fuck him like it was his last night in this world.
2014-05-18,Season 4,Episode 7,Mockingbird,oberyn martell,I did spend some time with an absolutely stunning blonde the other day.
2014-05-18,Season 4,Episode 7,Mockingbird,oberyn martell,Your sister.
2014-05-18,Season 4,Episode 7,Mockingbird,oberyn martell,Cersei approached me. We spoke a great deal about her daughter. How worried your sister is about her. She was trying very hard to pretend she had not come to sway me against you. I think she may have even believed it herself.
2014-05-18,Season 4,Episode 7,Mockingbird,oberyn martell,It was difficult for her to hide her true intentions. It is rare to meet a Lannister who shares my enthusiasm for dead Lannisters. She desperately wants to see you killed.
2014-05-18,Season 4,Episode 7,Mockingbird,oberyn martell,"Yes, I know. We met, you and I. Many years ago."
2014-05-18,Season 4,Episode 7,Mockingbird,oberyn martell,"Unlikely. You had just been born. Our father brought me and my sister Elia with him on a visit to Casterly Rock. My first time away from Dorne. I didn't like anything about the Rock. Not the food, not the weather, your accents. Nothing. But the biggest disappointment... you."
2014-05-18,Season 4,Episode 7,Mockingbird,oberyn martell,"The whole way from Dorne all anyone talked about was the monster that had been born to Tywin Lannister. A head twice the size of his body, a tail between his legs, claws, one red eye, the privates of both a girl and a boy."
2014-05-18,Season 4,Episode 7,Mockingbird,oberyn martell,"When we met your sister, she promised she would show you to us. Every day we would ask. Every day she would say, ""Soon."" Then she and your brother took us to your nursery and... she unveiled the freak. Your head was a bit large. Your arms and legs were a bit small, but no claw. No red eye. No tail between your legs. Just a tiny pink cock. We didn't try to hide our disappointment. ""That's not a monster,"" I told Cersei. ""That's just a baby."" And she said, ""He killed my mother."" And she pinched your little cock so hard, I thought she might pull it off. Until your brother made her stop. ""It doesn't matter,"" she told us. ""Everyone says he will die soon. I hope they are right. He should not have lived this long."""
2014-05-18,Season 4,Episode 7,Mockingbird,oberyn martell,And what about what I want? Justice for my sister and her children.
2014-05-18,Season 4,Episode 7,Mockingbird,oberyn martell,I disagree.
2014-05-18,Season 4,Episode 7,Mockingbird,oberyn martell,"I've come to the perfect place. I want to bring those who have wronged me to justice. And all those who have wronged me are right here. I will begin with Ser Gregor Clegane, who killed my sister's children and then raped her with their blood still on his hands before killing her, too. I will be your champion."
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,I like to move around.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,You learn this during your years in the fighting pits? I always drink before a fight.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,Today is not the day I die.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,I'm going to kill that.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,Size does not matter when you are flat on your back.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,Never.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,Have they told you who I am?
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,I am the brother of Elia Martell. Do you know why I have come all the way to this stinking shit-pile of a city? For you.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,I'm going to hear you confess before you die. You raped my sister. You murdered her. You killed her children. Say it now and we can make this quick.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,Say it. You raped her. You murdered her. You killed her children.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,You raped her! You murdered her! You killed her children!
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,You raped her! You murdered her!
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,You killed her children!
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,oberyn martell,"Wait. Are you dying? No, no, no. You can't die yet. You haven't confessed. Say it. Say her name. Elia Martell. You raped her. You killed her children. Elia Martell. Who gave you the order? Who gave you the order?! Say her name! You raped her! You murdered her! You killed her children. Say it. Say her name. Say it!"
